Loss is 0
Reading data
Loaded data
(5546, 3, 140, 210)
Epoch 1 loss = 0.35796736913422744
Epoch 2 loss = 0.3423237230504553
Epoch 3 loss = 0.3336636152490973
Epoch 4 loss = 0.32626139709105095
Epoch 5 loss = 0.32144186488042276
Epoch 6 loss = 0.31757900034387904
Epoch 7 loss = 0.31408013918747507
Epoch 8 loss = 0.3106239503373702
Epoch 9 loss = 0.30687908494224153
Epoch 10 loss = 0.3027107337117195
Epoch 11 loss = 0.2984122682486971
Epoch 12 loss = 0.2934576149160663
Epoch 13 loss = 0.2883222273985545
Epoch 14 loss = 0.2819131028652191
Epoch 15 loss = 0.27589011496553817
Epoch 16 loss = 0.26966858226805923
Epoch 17 loss = 0.2627559152618051
Epoch 18 loss = 0.25678921562929946
Epoch 19 loss = 0.24712772379318873
Epoch 20 loss = 0.23678144191081324
Epoch 21 loss = 0.22583208520586293
Epoch 22 loss = 0.21575124160697062
Epoch 23 loss = 0.20800532644614578
Epoch 24 loss = 0.1966811195636789
Epoch 25 loss = 0.18707907910769184
Epoch 26 loss = 0.17812034620592992
Epoch 27 loss = 0.17108256040761868
Epoch 28 loss = 0.16127958773324888
Epoch 29 loss = 0.15281660902003447
Epoch 30 loss = 0.14594034955836832
Dice: 0.48642299024
Loss: 0.41563931876
