Loss is 1
Reading data
Loaded data
(5546, 3, 140, 210)
Epoch 1 loss = -0.40840470330168804
Epoch 2 loss = -0.4365752284849683
Epoch 3 loss = -0.4471964591989915
Epoch 4 loss = -0.45260926223049563
Epoch 5 loss = -0.46002312342325846
Epoch 6 loss = -0.4862948066368699
Epoch 7 loss = -0.49920017978797354
Epoch 8 loss = -0.50748882971704
Epoch 9 loss = -0.5157486845801273
Epoch 10 loss = -0.5220327397187551
Epoch 11 loss = -0.5286072180668513
Epoch 12 loss = -0.533542410209775
Epoch 13 loss = -0.537975067657729
Epoch 14 loss = -0.5425478435431917
Epoch 15 loss = -0.5461626874531309
Epoch 16 loss = -0.5518652423719566
Epoch 17 loss = -0.5575483185425401
Epoch 18 loss = -0.5634884747862816
Epoch 19 loss = -0.5673570372536778
Epoch 20 loss = -0.5712227918828527
Epoch 21 loss = -0.57717931398501
Epoch 22 loss = -0.5820648489519954
Epoch 23 loss = -0.5898164990295967
Epoch 24 loss = -0.593681377718846
Epoch 25 loss = -0.6016629474361738
Epoch 26 loss = -0.6091446542739868
Epoch 27 loss = -0.6136861559997002
Epoch 28 loss = -0.619889812146624
Epoch 29 loss = -0.6244770919034879
Epoch 30 loss = -0.6309489189833403
Dice: 0.5288782928796159
Loss: -0.5288782928796159
