Loss is 1
Reading data
Loaded data
(5546, 3, 140, 210)
Epoch 1 loss = -0.409875278621912
Epoch 2 loss = -0.4381633153061072
Epoch 3 loss = -0.44801368409146863
Epoch 4 loss = -0.4554155111561219
Epoch 5 loss = -0.4612441339840492
Epoch 6 loss = -0.4737861326336861
Epoch 7 loss = -0.4954169938589136
Epoch 8 loss = -0.503404734308521
Epoch 9 loss = -0.510713033316036
Epoch 10 loss = -0.5178865620866417
Epoch 11 loss = -0.5230171578750015
Epoch 12 loss = -0.5293837507814169
Epoch 13 loss = -0.5354657538111011
Epoch 14 loss = -0.5406961385781567
Epoch 15 loss = -0.5458275648579002
Epoch 16 loss = -0.5500814805676539
Epoch 17 loss = -0.5549521112690369
Epoch 18 loss = -0.5612826867649953
Epoch 19 loss = -0.5659405067563057
Epoch 20 loss = -0.5706514312078556
Epoch 21 loss = -0.5753027174497644
Epoch 22 loss = -0.5814117909843723
Epoch 23 loss = -0.5867291616275907
Epoch 24 loss = -0.5909007431815068
Epoch 25 loss = -0.5977485343193014
Epoch 26 loss = -0.6023886388664444
Epoch 27 loss = -0.6100221577535073
Epoch 28 loss = -0.6139865841219823
Epoch 29 loss = -0.6212811169524988
Epoch 30 loss = -0.6272794631123543
Dice: -0.5269888419955158
Loss: -0.5269888419955158
